log_y_lote,region
2.296179,"1B"
-1.20325,"1B"
-.5801114,"1B"
1.877937,"1B"
1.385772,"1B"
3.066792,"1B"
1.942089,"1B"
2.884326,"1B"
1.66203,"1B"
2.977431,"1B"
2.312119,"1B"
1.443053,"1B"
2.246551,"1B"
1.754151,"1B"
4.353638,"1B"
2.47753,"1B"
4.130459,"1B"
3.412447,"1B"
1.448962,"1B"
.407676,"1B"
.2048737,"1B"
1.133835,"1B"
.5721935,"1B"
1.912851,"1B"
1.928162,"1B"
1.461298,"1B"
.7508877,"1B"
1.321959,"1B"
2.250473,"1B"
.2371727,"1B"
.6012073,"1B"
2.203598,"1B"
1.565266,"1B"
1.12212,"1B"
1.29608,"1B"
2.035043,"1B"
1.783221,"1B"
1.972858,"1B"
2.414743,"1B"
1.23045,"1B"
.7265917,"1B"
.9524143,"1B"
2.58027,"1B"
.0090588,"1B"
1.907143,"1B"
1.271994,"1B"
2.253414,"1B"
2.058855,"1B"
-1.03871,"1B"
2.741369,"1B"
1.960903,"1B"
2.912024,"1B"
3.23029,"1B"
-.0099584,"1B"
.962086,"1B"
1.845544,"1B"
4.020246,"1B"
.3133717,"1B"
1.507959,"1B"
.8533722,"1B"
1.55081,"1B"
3.114461,"1B"
2.274406,"1B"
1.558082,"1B"
4.227893,"1B"
1.879668,"1B"
2.678525,"1B"
1.148434,"1B"
2.250788,"1B"
1.907009,"1B"
-1.552831,"1B"
2.996127,"1B"
1.548666,"1B"
1.180051,"1B"
-.5055429,"1B"
-.2497956,"1B"
1.87879,"1B"
1.801797,"1B"
2.463802,"1B"
1.549293,"1B"
1.263887,"1B"
2.079899,"1B"
3.916051,"1B"
4.02396,"1B"
4.633048,"1B"
3.637297,"1B"
3.149462,"1B"
5.097681,"1B"
4.600318,"1B"
-.6962761,"1B"
1.065638,"1B"
.9351714,"1B"
2.214117,"1B"
3.365691,"1B"
.3253391,"1B"
1.515738,"1B"
1.654061,"1B"
2.261107,"1B"
1.985134,"1B"
2.693667,"1B"
4.005511,"1B"
3.007325,"1B"
1.290279,"1B"
.6845049,"1B"
1.928571,"1B"
.4244373,"1B"
2.84082,"1B"
3.226197,"1B"
2.982713,"1B"
2.980563,"1B"
2.995727,"1B"
2.485806,"1B"
3.460365,"1B"
5.005442,"1B"
.6886773,"1B"
1.261258,"1B"
.4884818,"1B"
2.47716,"1B"
.6234058,"1B"
3.030675,"1B"
.9145772,"1B"
2.39613,"1B"
1.675111,"1B"
2.120172,"1B"
2.096399,"1B"
3.470621,"1B"
2.772776,"1B"
1.591211,"1B"
2.461732,"1B"
2.145258,"1B"
2.678869,"1B"
3.079766,"1B"
.8277829,"1B"
2.498505,"1B"
.5280308,"1B"
1.848272,"1B"
1.262815,"1B"
2.521174,"1B"
2.145673,"1B"
1.634021,"1B"
2.113976,"1B"
