"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"163",21206600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.22,1188.06574712644,688.96,NA,NA,NA,96.34,602.7,703.8,770.304827586207,887.94,NA,23.64,235.77,NA,NA
"164",21206610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",21206620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.76,NA,NA,NA,21.7,12.76,NA,NA,135.137857142857,807.635172413793,768.567857142857,NA,NA,96.14,NA,NA
"166",21206630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,599.753103448276,1098.62482758621,900.340714285714,112.04,120.4,NA,NA,NA,NA
"167",21206640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.3,491.92,172.84,129.96,372.08,NA,19.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",21206650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.08,3.44,0.359999999999999,-9.98,183.64,120.001428571429,198.040238095238,NA,-17.98,88.9064285714285,NA,NA
"169",21206660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.4,630.72,NA,NA,50.24,NA,NA,NA,88.84,833.624444444445,1184.18,1263.8,1199.7,NA,NA,NA
"170",21206670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.74,NA,22.02,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",21206680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.42,NA,99.4,75.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",21206690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.24,10.18,NA,NA,NA,38.26,632,99.44,511.080714285714,646.9,812.44275862069,719.423448275862,NA,NA,NA
"173",21206700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",21206970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.92,NA,122.161379310345,878.88,771.289285714286,NA,NA,NA,NA
